	Word	PoS		Freq	Ra	Disp
	1950	Num	%	33	87	0.90
	@	@	1950	13	81	0.89
	@	@	1950s	20	85	0.89
	1951	Num	:	10	79	0.89
	1953	Num	:	10	77	0.88
	1954	Num	:	10	83	0.87
	1956	Num	:	11	80	0.90
	1957	Num	:	12	79	0.89
	1958	Num	:	11	78	0.90
	1959	Num	:	12	82	0.90
	1960	Num	%	45	91	0.90
	@	@	1960	15	85	0.90
	@	@	1960s	30	87	0.89
	1961	Num	:	14	81	0.90
	1962	Num	:	14	81	0.90
	1963	Num	:	14	79	0.90
	1964	Num	:	18	86	0.91
	1965	Num	:	16	83	0.90
	1966	Num	:	17	83	0.90
	1967	Num	:	21	83	0.89
	1968	Num	:	24	82	0.89
	1969	Num	:	20	85	0.90
	1970	Num	%	60	86	0.91
	@	@	1970	26	84	0.90
	@	@	1970s	34	77	0.90
	1971	Num	:	26	81	0.89
	1972	Num	:	27	79	0.89
	1973	Num	:	29	83	0.90
	1974	Num	:	33	82	0.91
	1975	Num	:	34	82	0.90
	1976	Num	:	36	82	0.89
	1977	Num	:	37	82	0.90
	1978	Num	:	37	83	0.90
	1979	Num	:	54	82	0.90
	1980	Num	%	90	90	0.91
	@	@	1980	52	86	0.91
	@	@	1980s	38	82	0.89
	1981	Num	%	56	81	0.90
	@	@	1981	56	81	0.90
	1982	Num	:	52	81	0.90
	1983	Num	:	57	85	0.91
	1984	Num	%	58	87	0.90
	@	@	1984	58	87	0.90
	1985	Num	:	74	82	0.88
	1986	Num	:	79	83	0.88
	1987	Num	:	85	86	0.88
	1988	Num	%	103	84	0.83
	@	@	1988	103	84	0.83
	1989	Num	:	134	82	0.70
	1990	Num	%	160	87	0.73
	@	@	1990	150	84	0.72
	@	@	1990s	10	78	0.89
	1991	Num	%	128	75	0.79
	@	@	1991	128	75	0.79
	1992	Num	%	102	79	0.86
	@	@	1992	102	79	0.86
	1993	Num	:	57	73	0.82
	1994	Num	:	16	63	0.81
	2000	Num	%	16	78	0.87
	@	@	2000	16	78	0.87
	2,000	Num	:	13	75	0.89
	10,000	Num	:	12	84	0.90
	£1	NoC	:	14	77	0.88
	£1.00	NoC	:	1	22	0.76
	£10	NoC	:	11	78	0.89
	£100	NoC	%	13	79	0.90
	@	@	£100	13	79	0.90
	£1,000	NoC	%	10	75	0.86
	@	@	£1,000	10	75	0.86
	a	Det	%	21626	100	0.99
	@	@	a	21626	100	0.99
	A / a	Lett	:	268	100	0.93
	A	NoP	%	38	91	0.85
	@	@	A	10	76	0.62
	@	@	A.	28	87	0.86
	a bit	Adv	:	119	99	0.87
	a great deal	Adv	:	14	96	0.95
	a little	Adv	:	104	100	0.92
	a lot	Adv	:	40	99	0.93
	abandon	Verb	%	44	99	0.96
	@	@	abandon	12	98	0.94
	@	@	abandoned	26	97	0.96
	@	@	abandoning	5	90	0.93
	@	@	abandons	1	47	0.87
	abbey	NoC	%	20	95	0.90
	@	@	abbey	19	95	0.90
	@	@	abbeys	1	34	0.75
	Aberdeen	NoP	%	14	88	0.80
	@	@	Aberdeen	14	88	0.80
	ability	NoC	%	105	100	0.94
	@	@	abilities	13	96	0.91
	@	@	ability	91	100	0.94
	able	Adj	:	304	100	0.97
	abolish	Verb	%	19	92	0.89
	@	@	abolish	6	85	0.88
	@	@	abolished	11	87	0.89
	@	@	abolishes	0	17	0.68
	@	@	abolishing	2	67	0.85
	abolition	NoC	:	12	86	0.88
	abortion	NoC	%	15	97	0.86
	@	@	abortion	12	94	0.86
	@	@	abortions	3	58	0.83
	about	Adv	:	447	100	0.97
	about	Prep	:	1524	100	0.96
	above	Adj	:	27	96	0.89
	above	Adv	:	94	100	0.93
	above	Prep	:	137	100	0.96
	abroad	Adv	:	39	100	0.94
	abruptly	Adv	:	12	88	0.83
	absence	NoC	%	59	100	0.93
	@	@	absence	58	100	0.93
	@	@	absences	2	69	0.88
	absent	Adj	:	15	98	0.94
	absolute	Adj	%	35	100	0.95
	@	@	absolute	35	100	0.95
	absolutely	Adv	:	58	100	0.91
	absorb	Verb	%	27	99	0.94
	@	@	absorb	8	98	0.93
	@	@	absorbed	15	98	0.93
	@	@	absorbing	2	78	0.91
	@	@	absorbs	2	61	0.85
	abstract	Adj	:	19	93	0.86
	abuse	NoC	%	37	98	0.90
	@	@	abuse	34	98	0.90
	@	@	abuses	3	72	0.86
	abuse	Verb	%	12	97	0.92
	@	@	abuse	2	82	0.91
	@	@	abused	7	94	0.90
	@	@	abuses	1	35	0.71
	@	@	abusing	2	72	0.90
	ac	NoC	%	16	72	0.51
	@	@	a.c.	8	26	0.12
	@	@	ac	7	69	0.68
	academic	Adj	:	47	98	0.88
	academy	NoC	%	15	95	0.89
	@	@	academies	1	37	0.82
	@	@	academy	14	95	0.89
	accelerate	Verb	%	11	95	0.92
	@	@	accelerate	4	84	0.89
	@	@	accelerated	4	88	0.92
	@	@	accelerates	1	40	0.80
	@	@	accelerating	1	64	0.86
	accent	NoC	%	19	96	0.93
	@	@	accent	14	95	0.92
	@	@	accents	4	89	0.89
	accept	Verb	%	202	100	0.96
	@	@	accept	98	100	0.94
	@	@	accepted	79	100	0.96
	@	@	accepting	17	98	0.95
	@	@	accepts	8	90	0.92
	acceptable	Adj	:	36	99	0.94
	acceptance	NoC	%	27	97	0.92
	@	@	acceptance	27	97	0.92
	@	@	acceptances	1	19	0.64
	accepted	Adj	:	10	97	0.93
	access	NoC	%	100	100	0.92
	@	@	access	100	100	0.92
	@	@	accesses	0	7	0.25
	access	Verb	%	15	93	0.78
	@	@	access	9	88	0.79
	@	@	accessed	4	59	0.72
	@	@	accesses	0	21	0.72
	@	@	accessing	2	45	0.81
	accessible	Adj	:	16	96	0.88
	accident	NoC	%	84	100	0.92
	@	@	accident	64	100	0.91
	@	@	accidents	20	99	0.89
	accommodate	Verb	%	21	98	0.94
	@	@	accommodate	14	97	0.94
	@	@	accommodated	5	82	0.91
	@	@	accommodates	1	41	0.84
	@	@	accommodating	2	78	0.91
	accommodation	NoC	%	44	100	0.92
	@	@	accommodation	44	100	0.92
	@	@	accommodations	0	26	0.75
	accompany	Verb	%	48	98	0.96
	@	@	accompanied	33	96	0.95
	@	@	accompanies	2	71	0.89
	@	@	accompany	9	95	0.94
	@	@	accompanying	4	91	0.93
	accord	Verb	%	10	96	0.91
	@	@	accord	3	76	0.89
	@	@	accorded	5	84	0.90
	@	@	according	1	52	0.88
	@	@	accords	2	63	0.88
	according to	Prep	:	157	100	0.92
	accordingly	Adv	:	23	100	0.86
	account	NoC	%	200	100	0.93
	@	@	account	135	100	0.93
	@	@	accounts	65	100	0.88
	account	Verb	%	58	100	0.91
	@	@	account	24	99	0.92
	@	@	accounted	14	97	0.91
	@	@	accounting	12	78	0.79
	@	@	accounts	8	93	0.91
	accountability	NoC	%	12	77	0.84
	@	@	accountabilities	0	9	0.61
	@	@	accountability	12	77	0.84
	accountant	NoC	%	22	100	0.82
	@	@	accountant	10	98	0.87
	@	@	accountants	12	89	0.77
	accounting	NoC	:	25	92	0.75
	accumulate	Verb	%	12	97	0.92
	@	@	accumulate	4	86	0.90
	@	@	accumulated	5	93	0.91
	@	@	accumulates	1	38	0.81
	@	@	accumulating	2	67	0.90
	accuracy	NoC	%	17	98	0.92
	@	@	accuracy	17	98	0.92
	accurate	Adj	:	29	100	0.95
	accurately	Adv	:	14	99	0.93
	accusation	NoC	%	12	96	0.91
	@	@	accusation	4	88	0.91
	@	@	accusations	7	96	0.88
	accuse	Verb	%	48	100	0.87
	@	@	accuse	4	89	0.92
	@	@	accused	38	99	0.86
	@	@	accuses	1	55	0.85
	@	@	accusing	5	90	0.87
	accused	Adj	:	11	82	0.49
	ace	NoC	%	13	77	0.69
	@	@	ace	11	72	0.65
	@	@	aces	1	43	0.82
	achieve	Verb	%	169	100	0.94
	@	@	achieve	68	99	0.94
	@	@	achieved	79	100	0.94
	@	@	achieves	3	74	0.91
	@	@	achieving	18	97	0.93
	achievement	NoC	%	46	98	0.93
	@	@	achievement	31	98	0.92
	@	@	achievements	15	96	0.93
	acid	NoC	%	59	100	0.71
	@	@	acid	49	100	0.70
	@	@	acids	10	68	0.72
	acknowledge	Verb	%	43	98	0.95
	@	@	acknowledge	15	97	0.94
	@	@	acknowledged	19	97	0.94
	@	@	acknowledges	5	82	0.91
	@	@	acknowledging	4	91	0.93
	acquire	Verb	%	68	99	0.92
	@	@	acquire	20	95	0.91
	@	@	acquired	37	99	0.93
	@	@	acquires	2	63	0.85
	@	@	acquiring	8	93	0.89
	acquisition	NoC	%	33	95	0.86
	@	@	acquisition	26	93	0.85
	@	@	acquisitions	7	82	0.86
	acre	NoC	%	22	99	0.92
	@	@	acre	6	88	0.90
	@	@	acres	16	98	0.91
	across	Adv	:	35	99	0.90
	across	Prep	:	217	100	0.95
	act	NoC	%	248	100	0.88
	@	@	act	215	100	0.87
	@	@	acts	32	100	0.92
	act	Verb	%	137	100	0.94
	@	@	act	59	100	0.94
	@	@	acted	23	99	0.94
	@	@	acting	41	100	0.93
	@	@	acts	14	98	0.92
	action	NoC	%	269	100	0.94
	@	@	action	221	100	0.94
	@	@	actions	48	100	0.93
	activate	Verb	%	14	97	0.72
	@	@	activate	3	65	0.74
	@	@	activated	6	90	0.80
	@	@	activates	1	42	0.82
	@	@	activating	4	40	0.29
	active	Adj	:	73	100	0.91
	actively	Adv	:	15	96	0.93
	activist	NoC	%	13	89	0.87
	@	@	activist	3	77	0.88
	@	@	activists	10	79	0.86
	activity	NoC	%	231	100	0.92
	@	@	activities	116	99	0.93
	@	@	activity	115	100	0.90
	actor	NoC	%	36	99	0.91
	@	@	actor	20	98	0.90
	@	@	actors	16	95	0.90
	actress	NoC	%	13	91	0.88
	@	@	actress	11	86	0.87
	@	@	actresses	2	66	0.86
	actual	Adj	:	68	100	0.93
	actually	Adv	:	260	100	0.86
	acute	Adj	%	23	95	0.84
	@	@	acute	23	95	0.84
	ad	Adv	%	11	84	0.85
	@	@	a.d.	3	29	0.57
	@	@	ad	9	83	0.85
	@	@	ad.	0	7	0.53
	ad	NoC	%	15	98	0.85
	@	@	ad	9	96	0.87
	@	@	ads	6	79	0.81
	Adam	NoP	:	35	100	0.78
	adapt	Verb	%	28	100	0.93
	@	@	adapt	10	99	0.93
	@	@	adapted	14	94	0.92
	@	@	adapting	3	78	0.91
	@	@	adapts	1	40	0.85
	adaptation	NoC	%	11	87	0.88
	@	@	adaptation	8	85	0.88
	@	@	adaptations	4	68	0.83
	add	Verb	%	275	100	0.96
	@	@	add	82	100	0.93
	@	@	added	139	100	0.94
	@	@	adding	32	100	0.94
	@	@	adds	22	97	0.91
	added	Adj	:	15	98	0.94
	addition	NoC	%	28	98	0.91
	@	@	addition	21	98	0.92
	@	@	additions	7	87	0.82
	additional	Adj	:	74	98	0.93
	address	NoC	%	60	100	0.94
	@	@	address	51	100	0.94
	@	@	addresses	9	97	0.91
	address	Verb	%	62	100	0.95
	@	@	address	20	98	0.93
	@	@	addressed	27	99	0.95
	@	@	addresses	4	82	0.91
	@	@	addressing	11	99	0.93
	adequate	Adj	:	36	98	0.93
	adequately	Adv	:	11	97	0.93
	adjacent	Adj	:	11	91	0.91
	adjective	NoC	%	10	82	0.46
	@	@	adjective	5	65	0.39
	@	@	adjectives	5	67	0.52
	adjust	Verb	%	28	100	0.94
	@	@	adjust	11	100	0.93
	@	@	adjusted	11	98	0.93
	@	@	adjusting	5	93	0.93
	@	@	adjusts	1	42	0.84
	adjustment	NoC	%	21	97	0.91
	@	@	adjustment	14	94	0.89
	@	@	adjustments	7	90	0.91
	administer	Verb	%	19	96	0.93
	@	@	administer	5	94	0.92
	@	@	administered	10	94	0.91
	@	@	administering	3	85	0.91
	@	@	administers	1	42	0.86
	administration	NoC	%	69	99	0.89
	@	@	administration	66	99	0.89
	@	@	administrations	2	65	0.86
	administrative	Adj	:	35	98	0.90
	administrator	NoC	%	15	95	0.91
	@	@	administrator	7	88	0.89
	@	@	administrators	8	87	0.89
	admire	Verb	%	22	99	0.93
	@	@	admire	8	93	0.93
	@	@	admired	11	98	0.92
	@	@	admires	1	52	0.86
	@	@	admiring	2	54	0.85
	admission	NoC	%	29	99	0.90
	@	@	admission	23	97	0.90
	@	@	admissions	6	82	0.85
	admit	Verb	%	112	100	0.94
	@	@	admit	38	100	0.94
	@	@	admits	13	94	0.89
	@	@	admitted	56	100	0.91
	@	@	admitting	5	96	0.93
	adopt	Verb	%	87	100	0.93
	@	@	adopt	25	99	0.93
	@	@	adopted	51	99	0.91
	@	@	adopting	8	95	0.92
	@	@	adopts	3	75	0.89
	adoption	NoC	%	16	90	0.88
	@	@	adoption	16	90	0.88
	@	@	adoptions	0	10	0.61
	adult	NoC	%	79	100	0.93
	@	@	adult	45	100	0.91
	@	@	adults	33	99	0.93
	advance	NoC	%	48	100	0.93
	@	@	advance	36	100	0.91
	@	@	advances	12	95	0.92
	advance	Verb	%	30	100	0.94
	@	@	advance	8	97	0.93
	@	@	advanced	17	98	0.94
	@	@	advances	2	76	0.90
	@	@	advancing	3	80	0.91
	advanced	Adj	:	33	98	0.88
	advantage	NoC	%	103	100	0.95
	@	@	advantage	73	100	0.95
	@	@	advantages	29	98	0.93
	adventure	NoC	%	20	96	0.90
	@	@	adventure	15	95	0.89
	@	@	adventures	5	89	0.92
	adverse	Adj	:	12	89	0.90
	advertise	Verb	%	16	100	0.94
	@	@	advertise	5	98	0.92
	@	@	advertised	7	97	0.94
	@	@	advertises	0	31	0.83
	@	@	advertising	3	87	0.91
	advertisement	NoC	%	22	100	0.89
	@	@	advertisement	12	97	0.88
	@	@	advertisements	10	96	0.89
	advertising	NoC	:	41	99	0.88
	advice	NoC	%	104	100	0.93
	@	@	advice	104	100	0.93
	advise	Verb	%	54	100	0.95
	@	@	advise	20	99	0.93
	@	@	advised	25	100	0.96
	@	@	advises	3	72	0.90
	@	@	advising	6	92	0.92
	adviser	NoC	%	33	98	0.90
	@	@	adviser	15	96	0.90
	@	@	advisers	18	94	0.88
	advisory	Adj	:	16	88	0.90
	advocate	Verb	%	17	92	0.91
	@	@	advocate	3	82	0.91
	@	@	advocated	9	79	0.89
	@	@	advocates	2	58	0.86
	@	@	advocating	3	77	0.90
	aesthetic	Adj	:	12	86	0.83
	affair	NoC	%	106	100	0.87
	@	@	affair	33	100	0.93
	@	@	affairs	73	100	0.83
	affect	Verb	%	133	100	0.95
	@	@	affect	48	100	0.94
	@	@	affected	54	100	0.94
	@	@	affecting	17	99	0.93
	@	@	affects	14	92	0.93
	affection	NoC	%	16	99	0.93
	@	@	affection	14	99	0.93
	@	@	affections	2	75	0.90
	afford	Verb	%	54	100	0.96
	@	@	afford	45	100	0.95
	@	@	afforded	6	96	0.93
	@	@	affording	1	53	0.86
	@	@	affords	2	64	0.87
	afraid	Adj	:	60	100	0.88
	Africa	NoP	%	78	100	0.88
	@	@	Africa	78	100	0.88
	African	Adj	:	43	99	0.88
	after	Conj	:	233	100	0.96
	after	Prep	:	927	100	0.96
	afternoon	NoC	%	89	100	0.93
	@	@	afternoon	84	100	0.93
	@	@	afternoons	5	87	0.91
	afterwards	Adv	:	46	100	0.96
	again	Adv	:	561	100	0.94
	against	Prep	:	562	100	0.96
	age	NoC	%	252	100	0.94
	@	@	age	216	100	0.94
	@	@	ages	36	99	0.94
	age	Verb	%	21	99	0.90
	@	@	age	3	83	0.90
	@	@	aged	14	99	0.89
	@	@	ageing	3	64	0.80
	@	@	ages	1	38	0.79
	@	@	aging	0	9	0.60
	aged	Prep	:	27	99	0.87
	agency	NoC	%	96	100	0.91
	@	@	agencies	37	96	0.90
	@	@	agency	59	100	0.90
	agenda	NoC	%	25	99	0.92
	@	@	agenda	24	99	0.91
	@	@	agendas	2	54	0.86
	agent	NoC	%	81	100	0.95
	@	@	agent	43	100	0.94
	@	@	agents	37	100	0.94
	aggregate	Adj	:	11	70	0.63
	aggression	NoC	%	13	95	0.86
	@	@	aggression	13	95	0.86
	@	@	aggressions	0	11	0.71
	aggressive	Adj	:	19	99	0.92
	ago	Adv	:	198	100	0.94
	agony	NoC	%	10	97	0.90
	@	@	agonies	1	47	0.86
	@	@	agony	10	95	0.89
	agree	Verb	%	236	100	0.93
	@	@	agree	82	100	0.88
	@	@	agreed	136	100	0.91
	@	@	agreeing	8	100	0.94
	@	@	agrees	9	98	0.88
	agreed	Adj	:	10	94	0.91
	agreement	NoC	%	160	100	0.85
	@	@	agreement	133	100	0.84
	@	@	agreements	27	87	0.85
	agricultural	Adj	:	41	97	0.89
	agriculture	NoC	%	39	93	0.85
	@	@	agriculture	39	93	0.85
	ah	Int	:	99	94	0.71
	aha	Int	:	26	51	0.65
	ahead	Adv	:	63	100	0.95
	ahead of	Prep	:	26	100	0.94
	ai~*	Verb	:	36	88	0.71
	aid	NoC	%	91	100	0.90
	@	@	aid	78	100	0.89
	@	@	aids	13	91	0.89
	aid	Verb	%	16	97	0.94
	@	@	aid	8	95	0.93
	@	@	aided	6	90	0.93
	@	@	aiding	2	67	0.90
	@	@	aids	0	33	0.83
	AIDS	NoC	%	19	87	0.80
	@	@	AIDS	19	87	0.80
	aim	NoC	%	75	100	0.92
	@	@	aim	50	100	0.92
	@	@	aims	25	91	0.91
	aim	Verb	%	77	100	0.92
	@	@	aim	14	100	0.94
	@	@	aimed	36	99	0.92
	@	@	aiming	10	99	0.94
	@	@	aims	17	82	0.80
	air	NoC	%	191	100	0.95
	@	@	air	189	100	0.95
	@	@	airs	1	50	0.82
	aircraft	NoC	%	62	99	0.84
	@	@	aircraft	62	99	0.84
	airline	NoC	%	20	97	0.87
	@	@	airline	11	92	0.86
	@	@	airlines	9	84	0.85
	airport	NoC	%	33	99	0.93
	@	@	airport	29	99	0.92
	@	@	airports	4	77	0.90
	Al	NoP	%	10	95	0.82
	@	@	Al	10	94	0.82
	Alan	NoP	%	52	98	0.89
	@	@	Alan	52	98	0.89
	@	@	Alans	0	4	0.18
	alarm	NoC	%	25	100	0.94
	@	@	alarm	21	100	0.94
	@	@	alarms	4	86	0.87
	albeit	Conj	:	14	93	0.94
	Albert	NoP	%	22	96	0.88
	@	@	Albert	22	96	0.88
	album	NoC	%	26	93	0.79
	@	@	album	22	92	0.78
	@	@	albums	5	68	0.80
	alcohol	NoC	%	31	99	0.89
	@	@	alcohol	30	99	0.89
	@	@	alcohols	0	15	0.65
	alert	Verb	%	12	98	0.93
	@	@	alert	6	95	0.92
	@	@	alerted	5	93	0.91
	@	@	alerting	1	55	0.88
	@	@	alerts	0	22	0.78
	Alex	NoP	:	19	88	0.85
	Alexander	NoP	%	26	98	0.88
	@	@	Alexander	26	98	0.88
	Alfred	NoP	%	12	90	0.85
	@	@	Alfred	12	90	0.85
	Ali	NoP	%	13	81	0.76
	@	@	Ali	13	81	0.76
	Alice	NoP	%	25	97	0.73
	@	@	Alice	25	97	0.73
	alike	Adv	:	12	97	0.94
	Alison	NoP	%	14	88	0.83
	@	@	Alison	14	88	0.83
	alive	Adj	:	43	100	0.93
	all	Adv	:	193	100	0.96
	all	DetP	:	2436	100	0.98
	all right*	Adv	:	64	97	0.84
	Allan	NoP	:	10	81	0.87
	allegation	NoC	%	21	92	0.83
	@	@	allegation	4	76	0.85
	@	@	allegations	18	90	0.82
	allege	Verb	%	19	92	0.86
	@	@	allege	1	51	0.84
	@	@	alleged	13	91	0.85
	@	@	alleges	2	46	0.83
	@	@	alleging	3	67	0.83
	alleged	Adj	:	18	93	0.85
	allegedly	Adv	:	10	85	0.86
	Allen	NoP	%	18	90	0.83
	@	@	Allen	18	90	0.83
	alliance	NoC	%	37	98	0.87
	@	@	alliance	31	97	0.86
	@	@	alliances	6	79	0.85
	allied	Adj	:	14	92	0.84
	allocate	Verb	%	25	98	0.91
	@	@	allocate	5	81	0.90
	@	@	allocated	17	97	0.90
	@	@	allocates	1	33	0.81
	@	@	allocating	3	73	0.90
	allocation	NoC	%	23	87	0.89
	@	@	allocation	18	86	0.89
	@	@	allocations	5	63	0.84
	allow	Verb	%	342	100	0.95
	@	@	allow	115	100	0.96
	@	@	allowed	143	100	0.90
	@	@	allowing	43	100	0.95
	@	@	allows	41	100	0.91
	allowance	NoC	%	34	100	0.89
	@	@	allowance	22	100	0.90
	@	@	allowances	13	93	0.86
	ally	NoC	%	24	98	0.91
	@	@	allies	16	94	0.89
	@	@	ally	8	94	0.92
	almost	Adv	:	316	100	0.96
	alone	Adj	%	54	100	0.92
	@	@	alone	54	100	0.92
	alone	Adv	:	74	100	0.96
	along	Adv	:	70	100	0.94
	along	Prep	:	123	100	0.95
	along with	Prep	:	51	100	0.96
	alongside	Prep	:	29	100	0.95
	alpha	NoC	%	11	78	0.59
	@	@	alpha	11	78	0.60
	@	@	alphas	0	7	0.47
	already	Adv	:	343	100	0.98
	alright*	Adj	:	40	73	0.63
	alright*	Adv	:	43	48	0.65
	also	Adv	:	1248	100	0.95
	alter	Verb	%	42	100	0.95
	@	@	alter	19	100	0.94
	@	@	altered	16	100	0.94
	@	@	altering	5	93	0.94
	@	@	alters	2	74	0.90
	alteration	NoC	%	15	96	0.92
	@	@	alteration	7	88	0.88
	@	@	alterations	8	93	0.92
	alternative	Adj	:	51	99	0.93
	alternative	NoC	%	53	100	0.95
	@	@	alternative	36	100	0.95
	@	@	alternatives	17	98	0.93
	alternatively	Adv	:	17	92	0.91
	although	Conj	:	436	100	0.96
	altogether	Adv	:	32	100	0.96
	aluminium	NoC	:	10	97	0.88
